code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sz.000100,TCL科技,2025-01-03,2025-01-07,4.88,5.07,3.89,5.04,5.03,4.8,-9.29,30.59,4
sz.000157,中联重科,2024-04-23,2024-04-30,8.57,8.51,-0.7,9.03,8.66,8.03,-0.46,1.02,7
sz.000157,中联重科,2024-10-16,2024-10-21,6.82,6.84,0.29,6.97,6.57,6.56,-7.48,0.06,5
sz.000157,中联重科,2024-11-15,2024-11-20,7.01,7.08,1.0,7.23,7.1,6.68,-6.1,1.19,5
sz.000157,中联重科,2024-11-22,2024-11-25,6.92,6.95,0.43,7.02,7.14,6.72,-2.1,0.42,3
sz.000157,中联重科,2024-11-26,2024-11-27,6.88,7.08,2.91,6.98,7.15,6.73,-1.39,47.12,1
sz.000157,中联重科,2025-03-20,2025-03-24,8.02,8.02,0.0,8.08,8.02,7.41,-5.28,5.4,4
sz.000166,申万宏源,2024-05-16,2024-05-17,4.6,4.66,1.3,4.66,4.62,4.54,-0.67,27.78,1
sz.000166,申万宏源,2024-08-22,2024-08-23,4.5,4.55,1.11,4.57,4.55,4.44,-13.62,1.75,1
sz.000166,申万宏源,2024-08-28,2024-08-30,4.47,4.52,1.12,4.51,4.56,4.44,-0.05,29.58,2
sz.000166,申万宏源,2024-10-17,2024-10-21,5.1,5.25,2.94,5.21,4.9,4.61,-10.09,0.4,4
sz.000166,申万宏源,2024-11-18,2024-11-21,5.44,5.52,1.47,5.58,5.5,4.98,-7.74,13.28,3
sz.000166,申万宏源,2024-12-17,2024-12-19,5.37,5.37,0.0,5.46,5.41,5.33,-3.49,0.17,2
sz.000301,东方盛虹,2024-10-15,2024-10-22,8.04,8.22,2.24,8.32,7.88,7.8,-3.15,23.6,7
sz.000301,东方盛虹,2024-11-22,2024-11-27,8.77,9.29,5.93,8.98,8.69,8.15,-1.32,14.57,5
sz.000301,东方盛虹,2024-12-17,2024-12-27,8.93,8.47,-5.15,9.27,9.26,8.65,-11.94,9.59,10
sz.000301,东方盛虹,2025-03-14,2025-03-24,9.13,8.73,-4.38,9.32,9.24,8.8,-9.66,0.69,10
sz.000333,美的集团,2024-05-20,2024-05-24,66.57,66.62,0.08,68.91,69.74,65.92,-7.65,1.87,4
sz.000333,美的集团,2024-10-31,2024-11-01,71.42,72.25,1.16,73.68,75.43,67.69,-0.66,9.88,1
sz.000333,美的集团,2025-01-15,2025-01-20,73.82,74.89,1.45,75.57,75.38,73.46,-4.26,10.35,5
sz.000338,潍柴动力,2024-04-25,2024-04-26,17.54,17.66,0.68,17.9,17.67,16.49,-2.1,0.86,1
sz.000338,潍柴动力,2024-04-30,2024-05-06,17.39,17.31,-0.46,17.62,17.85,16.64,-2.14,6.29,6
sz.000338,潍柴动力,2024-10-16,2024-10-21,13.73,13.53,-1.46,14.25,13.47,13.21,-9.31,0.87,5
sz.000338,潍柴动力,2025-03-25,2025-03-28,15.95,16.3,2.19,16.37,16.2,14.96,-0.11,9.02,3
sz.000408,藏格矿业,2024-04-17,2024-04-18,28.9,30.4,5.19,30.83,31.1,28.55,-9.34,8.57,1
sz.000408,藏格矿业,2024-11-15,2024-11-19,28.95,29.6,2.25,29.87,29.23,26.14,-6.52,12.84,4
