code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sz.002601,龙佰集团,2024-10-16,18.87,19.21,18.1,17.03,-5.96,15.24,2.7,1.8,-3.5
sz.002709,天赐材料,2024-10-16,15.88,16.61,15.51,15.01,-1.02,25.17,11.46,13.16,57.49
sz.003816,中国广核,2024-10-16,4.19,4.25,4.16,4.6,-3.07,1.74,0.72,-3.58,-6.21
sz.300498,温氏股份,2024-10-16,17.99,18.59,17.42,18.4,-4.17,13.75,7.17,4.72,-3.67
sh.600010,包钢股份,2024-10-17,1.58,1.63,1.54,1.47,-7.22,17.99,3.16,8.23,22.15
sh.600018,上港集团,2024-10-17,6.08,6.22,6.03,6.11,-6.19,12.47,2.96,-2.14,-4.93
sh.600030,中信证券,2024-10-17,26.16,26.98,23.65,20.58,-4.03,27.96,4.28,7.49,14.18
sh.600031,三一重工,2024-10-17,17.73,18.15,17.2,16.25,-5.25,17.74,-1.64,2.93,-2.48
sh.600050,中国联通,2024-10-17,5.07,5.15,4.9,4.75,-1.68,20.17,-0.39,-1.58,0.99
sh.600061,国投资本,2024-10-17,7.33,7.5,6.94,6.15,-9.08,12.64,2.32,8.19,3.68
sh.600066,宇通客车,2024-10-17,24.67,25.34,24.19,22.31,-9.96,1.36,1.13,-2.07,-13.05
sh.600111,北方稀土,2024-10-17,18.77,19.42,18.33,17.41,-9.1,16.03,6.66,14.33,20.03
sh.600183,生益科技,2024-10-17,18.69,19.07,18.48,18.79,-10.3,3.38,6.1,10.01,12.68
sh.600188,兖矿能源,2024-10-17,15.55,15.77,14.83,14.57,-1.56,8.75,2.32,-0.77,-6.24
sh.600196,复星医药,2024-10-17,24.65,25.26,24.42,23.49,-14.09,0.8,4.18,7.91,6.73
sh.600219,南山铝业,2024-10-17,4.11,4.2,3.96,3.73,-1.48,11.13,2.92,-0.73,-4.62
sh.600233,圆通速递,2024-10-17,16.75,17.03,16.41,15.29,-0.43,10.08,8.0,-2.09,-14.15
sh.600276,恒瑞医药,2024-10-17,49.22,50.12,47.82,44.49,-4.6,20.86,-1.12,-5.32,0.98
sh.600332,白云山,2024-10-17,27.69,28.26,27.16,28.34,-13.44,0.2,3.97,0.83,3.68
sh.600346,恒力石化,2024-10-17,13.95,14.55,13.84,13.58,-13.29,4.16,3.3,-1.51,1.86
sh.600372,中航机载,2024-10-17,12.35,12.62,11.78,11.88,-2.41,30.81,4.53,3.4,0.49
sh.600438,通威股份,2024-10-17,20.03,20.64,19.96,18.97,-6.98,14.61,25.56,53.52,34.9
sh.600690,海尔智家,2024-10-17,30.28,31.24,29.19,26.6,-2.69,19.4,3.2,-3.5,-6.87
sh.600875,东方电气,2024-10-17,14.37,14.63,13.9,14.54,-6.43,8.6,4.73,9.74,4.87
sh.600905,三峡能源,2024-10-17,4.41,4.54,4.38,4.55,-12.69,1.41,6.58,7.71,3.17
sh.600918,中泰证券,2024-10-17,6.46,6.62,6.31,5.94,-12.92,4.72,4.49,5.42,6.04
